year,group,value
2006,Alimentação e bebidas,2.56
2006,Comunicação,-1.68
2006,Educação,0.43000000000000005
2006,Habitação,0.82
2006,Saúde e cuidados pessoais,1.76
2006,Transportes,1.9199999999999997
2007,Alimentação e bebidas,10.29
2007,Comunicação,2.07
2007,Educação,4.14
2007,Habitação,1.7500000000000002
2007,Saúde e cuidados pessoais,4.38
2007,Transportes,4.14
2008,Alimentação e bebidas,10.62
2008,Comunicação,5.34
2008,Educação,4.54
2008,Habitação,4.98
2008,Saúde e cuidados pessoais,5.58
2008,Transportes,4.6000000000000005
2009,Alimentação e bebidas,3.13
2009,Comunicação,3.21
2009,Educação,6.05
2009,Habitação,5.54
2009,Saúde e cuidados pessoais,5.25
2009,Transportes,4.7
2010,Alimentação e bebidas,9.98
2010,Comunicação,2.58
2010,Educação,6.13
2010,Habitação,4.87
2010,Saúde e cuidados pessoais,4.95
2010,Transportes,4.8
2011,Alimentação e bebidas,6.98
2011,Comunicação,4.5
2011,Educação,7.92
2011,Habitação,6.55
2011,Saúde e cuidados pessoais,6.16
2011,Transportes,11.82
2012,Alimentação e bebidas,9.45
2012,Comunicação,2.28
2012,Educação,7.66
2012,Habitação,6.61
2012,Saúde e cuidados pessoais,5.79
2012,Transportes,0.9600000000000004
2013,Alimentação e bebidas,8.19
2013,Comunicação,4.5
2013,Educação,7.7700000000000005
2013,Habitação,3.4
2013,Saúde e cuidados pessoais,6.74
2013,Transportes,6.54
2014,Alimentação e bebidas,7.77
2014,Comunicação,-4.53
2014,Educação,8.290000000000001
2014,Habitação,8.47
2014,Saúde e cuidados pessoais,6.76
2014,Transportes,7.4399999999999995
2015,Alimentação e bebidas,11.41
2015,Comunicação,6.2700000000000005
2015,Educação,9.02
2015,Habitação,17.05
2015,Saúde e cuidados pessoais,8.84
2015,Transportes,19.52
2016,Alimentação e bebidas,8.32
2016,Comunicação,3.87
2016,Educação,8.67
2016,Habitação,2.83
2016,Saúde e cuidados pessoais,10.540000000000001
2016,Transportes,8.36
2017,Alimentação e bebidas,-1.87
2017,Comunicação,5.25
2017,Educação,6.97
2017,Habitação,6.16
2017,Saúde e cuidados pessoais,6.33
2017,Transportes,8.1
2018,Alimentação e bebidas,3.98
2018,Comunicação,-0.24000000000000007
2018,Educação,5.25
2018,Habitação,4.67
2018,Saúde e cuidados pessoais,3.89
2018,Transportes,8.34
2019,Alimentação e bebidas,6.25
2019,Comunicação,3.24
2019,Educação,4.71
2019,Habitação,3.8499999999999996
2019,Saúde e cuidados pessoais,5.29
2019,Transportes,7.1
2020,Alimentação e bebidas,13.32
2020,Comunicação,10.14
2020,Educação,1.2600000000000002
2020,Habitação,5.1899999999999995
2020,Saúde e cuidados pessoais,1.5
2020,Transportes,2.2399999999999993
2021,Alimentação e bebidas,7.67
2021,Comunicação,4.140000000000001
2021,Educação,2.82
2021,Habitação,12.39
2021,Saúde e cuidados pessoais,3.65
2021,Transportes,38.66
2022,Alimentação e bebidas,11.09
2022,Comunicação,-2.9400000000000004
2022,Educação,7.38
2022,Habitação,0.12000000000000016
2022,Saúde e cuidados pessoais,10.879999999999999
2022,Transportes,-2.099999999999999
2023,Alimentação e bebidas,1.04
2023,Comunicação,8.61
2023,Educação,8.120000000000001
2023,Habitação,4.97
2023,Saúde e cuidados pessoais,6.4
2023,Transportes,13.9
2024,Alimentação e bebidas,7.47
2024,Comunicação,8.73
2024,Educação,6.62
2024,Habitação,3.08
2024,Saúde e cuidados pessoais,5.93
2024,Transportes,6.54
2025,Alimentação e bebidas,2.92
2025,Comunicação,2.3099999999999996
2025,Educação,6.15
2025,Habitação,6.79
2025,Saúde e cuidados pessoais,5.46
2025,Transportes,6.1
